channel key,PMT_type,cable_label,Teststand-proposed voltage,1E7 Gain fit,5E6 Gain fit,Notes,,,,Total Good LUX PMTs,Total Good ETEL PMTs,Total Good Hamamtsu  PMTs,Total Good Watchmen,Total Good Watchboy,Total Good
415,Hamamatsu,SQ0387,1750,2022,1922,good,,,,,,,,,
416,Watchboy,3,1603,1802,1662,good,,,,,,,,,
417,Watchboy,15,1492,1751,1595,good,,,,,,,,,
418,Watchboy,7,1400,1677,1526,good,,,,,,,,,
419,Watchboy,34,1488,1740,1580,good,,,,,,,,,
420,Watchboy,2,1410,-9999,-9999,Low gain; need 1800 V and 1900 V points,,,,,,,,,
421,Watchboy,40,1367,1620,1470,good,,,,,,,,,
422,Watchboy,23,1422,1676,1524,good,,,,,,,,,
423,Watchboy,4,1490,1783,1575,"good (Could use data points at 1500, 1800, 1900)",,,,,,,,,
424,Watchboy,17,1451,1705,1561,good ,,,,,,,,,
425,Watchboy,22,1325,1552,1395,good ,,,,,,,,,
426,Watchboy,10,2015,-9999,-9999,low gain (<1E6 at 1900 V),,,,,,,,,
427,Watchboy,14,1580,1679,1620,good,,,,,,,,,
428,Watchboy,43,1255,1472,1339,good,,,,,,,,,
429,Watchboy,48,1480,1698,1546,good,,,,,,,,,
430,Watchboy,49,1480,1698,1531,good,,,,,,,,,
431,Watchboy,36,-9999,-9999,-9999,-9999,,,,,,,,,
432,Watchboy,38,1420,1658,1493,good ,,,,,,,,,
433,Watchboy,13,1584,1782,1625,good ,,,,,,,,,
434,Watchboy,39,1405,1665,1506,good ,,,,,,,,,
435,Watchboy,37,1457,1684,1530,good ,,,,,,,,,
436,Watchboy,29,1512,1710,1545,good ,,,,,,,,,
437,Watchboy,41,1671,1901,1728,good ,,,,,,,,,
438,Watchboy,6,1440,1698,1542,good ,,,,,,,,,
439,Watchboy,26,1416,1656,1496,good ,,,,,,,,,
440,Watchboy,45,1444,1685,1533,good ,,,,,,,,,
441,Watchboy,28,1315,1548,1400,good ,,,,,,,,,
442,Watchboy,19,1670,1825,1701,good ,,,,,,,,,
443,Watchboy,21,1546,1831,1655,good ,,,,,,,,,
444,Watchboy,31,-9999,-9999,-9999,-9999,,,,,,,,,
445,Watchboy,42,-9999,-9999,-9999,-9999,,,,,,,,,
446,Watchboy,46,1480,1514,1378,good,,,,,,,,,
447,Watchboy,9,1460,1718,1562,good,,,,,,,,,
448,Watchboy,35,1487,1703,1531,good (Could use a point at 1800 V and 1450 V),,,,,,,,,
449,Watchboy,20,1500,1680,1544,good,,,,,,,,,
450,Watchboy,24,1420,1832,1682,good (Could use a point at 1450 V),,,,,,,,,
451,Watchboy,18,1341,1579,1444,good ,,,,,,,,,
452,Watchboy,27,1469,1701,1568,good ,,,,,,,,,
453,Watchboy,8,1530,1720,1577,good ,,,,,,,,,
454,Watchboy,30,1621,1806,1664,good ,,,,,,,,,
455,Watchboy,11,1687,1930,1756,good ,,,,,,,,,
456,Watchboy,33,1627,1796,1694,good,,,,,,,,,
457,Watchboy,5,1312,1547,1412,good,,,,,38,,,,
458,Watchboy,32,1311,1567,1422,good,,,,,,,,,
459,Watchboy,1,1465,1714,1572,good (could use a point at 1800 V and 1450 V),,,,,,,,,
460,Watchboy,44,1480,1628,1476,good ,,,,,,,,,
461,Watchboy,47,1480,1672,1523,good ,,,,,,,,,
462,Watchboy,12,1298,1520,1370,good ,,,,,,,,,
463,Watchboy,16,1401,1654,1497,good ,,,,,,,,,
